order,unique,drill,wetWeight ,fruitingBodies ,wetWeightExcess,drilledWeight ,volMass ,volMassRetained ,insectDamage ,dryMass
847,excu2h,no,,,,,18.5,0.87,,11.89
854,EXCU14,no,,,,,192.66,8.7,,129.63
857,cali2c,no,,,,,12.23,1.11,,8.65
881,ALLI21,no,,,,,434.63,23.14,,271.6
883,PEPU18,no,,,,,239.53,8.7,,149.68
884,alli3j,no,,,,,13.67,0.63,,9.5
902,baae1f,no,,,,,9.96,0.72,,5.47
907,alli3a,no,,,,,14.94,0.64,,10.9
908,jasc2b,no,,,,,20.85,1.52,,11.4
912,pepu2j,no,,,,,8.13,0.36,,5.64
916,mede3d,no,,,,,15.77,1.77,,9.3
918,PEPU28,no,,,,,247.6,18.64,,166.54
924,MEDE21,no,,,,,295.25,28.48,1020 small,170.84
928,JASC38,no,,,,,270.05,15.64,,183.03
932,eute1f,no,,,,,20.75,1.09,,9.78
937,EUSC210,no,,,,,296.03,16.07,,174.6
944,jasc1e,no,,,,,8.52,1.25,,4.91
945,peli3a,no,,,,,14.26,0.97,,8.38
952,anba3c,no,,,,,8.94,0.66,,4.59
959,ALLI114,no,,,,,251.25,12.7,,167.87
961,anba1g,no,,,,,17.92,1.48,,9.22
965,isan5e,no,,,,,15.96,1.62,,11.17
966,basp2b,no,,,,,23,1.87,,17.04
969,acel2l,no,,,,,10.07,0.51,,6.02
972,PEPU213,no,,,,,214.51,12.32,,140.77
974,eusc1d,no,,,,,10.11,0.66,,6.18
978,penu1e,no,,,,,11.26,1.48,,7.4
980,alli1l,no,,,,,12.38,0.69,,8.61
983,mede3l,no,,,,,6.99,0.57,,4.01
996,excu2e,no,,,,,11.14,0.86,,7.37
1003,basp3e,no,,,,,8.92,0.79,,6.35
1004,leer9d,no,,,,,6.36,0.8,,4.91
1005,ANBA14,no,,,,,420.4,19.1,,133.95
1010,ANBA116,no,,,,,241.23,11.34,,80.4
1014,BAAE110,no,,,,,137.95,12.85,,69.07
1015,hase2j,no,,,,,20.59,1.5,,13.43
1016,PELI21,no,,,,,152.59,6.81,,91.63
1018,lepa2i,no,,,,,11.11,4.46,15 small,7.18
1020,penu3f,no,,,,,12.95,1.28,,8.05
