random order num,Species,Stem,ID,unique,Diameter.wbark (mm),Fresh mass (g),Diameter.nobark (mm),Volume (g),Dry mass wood (g),Dry mass bark (g),Dry mass total (g),Notes
3,baae,2,c,baae2c,14.47,14.55,,,,,,
4,baae,3,h,baae3h,9.95,8.25,,,,,,
5,baae,2,q,baae2q,13.72,12.97,,,,,,
6,baae,1,g,baae1g,11.65,7.93,,,,,,
7,baae,2,d,baae2d,16.73,16.38,,,,,,
8,baae,1,c,baae1c,17.24,19.5,,,,,,
9,baae,1,e,baae1e,10.82,7.77,,,,,,
10,baae,3,d,baae3d,17.35,22.12,,,,,,
11,baae,2,g,baae2g,15.65,16.06,,,,,,
12,baae,3,l,baae3l,11.64,9.21,,,,,,
13,baae,3,e,baae3e,17.14,17.47,,,,,,
14,baae,3,a,baae3a,16.24,14.07,,,,,,
15,baae,1,b,baae1b,19.95,24.5,,,,,,
16,baae,2,f,baae2f,14.06,13.98,,,,,,
17,baae,2,a,baae2a,15.13,14.87,,,,,,
18,baae,2,l,baae2l,14.24,13.05,,,,,,
19,baae,2,o,baae2o,14.63,14.04,,,,,,
20,baae,3,f,baae3f,19.37,23.09,,,,,,
21,baae,3,c,baae3c,14.58,16.58,,,,,,
22,baae,1,a,baae1a,18.4,21.26,,,,,,
23,baae,3,j,baae3j,13.26,12.94,,,,,,
24,baae,3,k,baae3k,10.98,8.44,,,,,,
25,baae,2,m,baae2m,12.84,13.21,,,,,,
26,baae,1,f,baae1f,12.43,9.23,,,,,,
27,baae,2,i,baae2i,16.21,15.87,,,,,,
28,baae,2,n,baae2n,13.75,13.52,,,,,,
29,baae,2,j,baae2j,14.89,14.19,,,,,,
30,baae,2,h,baae2h,15.96,14.98,,,,,,
31,baae,1,d,baae1d,15.07,12.55,13.13,10.58,5.72,1.2,,some bark still on wood
32,baae,2,e,baae2e,15.06,14.42,,,,,7.35,
33,baae,3,g,baae3g,16.81,18.73,15.93,15.85,9.15,1.08,,some bark still on wood
34,baae,2,b,baae2b,14.94,13.8,,,,,7.1,
35,baae,2,p,baae2p,14.44,13.79,12.94,10.69,5.4,1.76,,some bark still on wood
36,baae,2,k,baae2k,14.62,13.48,,,,,6.89,
1,basp,2,k,basp2k,17.48,23.1,,,,,,
2,basp,2,j,basp2j,15.35,20.31,,,,,,
3,basp,2,c,basp2c,10.3,8.75,,,,,,
4,basp,3,c,basp3c,14.98,17,,,,,,
5,basp,1,c,basp1c,12.03,12.76,,,,,,
6,basp,1,f,basp1f,10.02,8.78,,,,,,
7,basp,3,m,basp3m,15.07,18.38,,,,,,
lost,basp,3,l,basp3l,17.58,22.13,,,,,,
9,basp,3,h,basp3h,14.18,18.1,,,,,,
10,basp,2,f,basp2f,15.48,19.99,,,,,,
11,basp,3,a,basp3a,15.39,17.62,,,,,,
12,basp,2,d,basp2d,10.11,8.68,,,,,,
13,basp,3,j,basp3j,15.08,18.67,,,,,,
14,basp,3,i,basp3i,10.37,8.78,,,,,,
15,basp,2,g,basp2g,12.46,9.42,,,,,,
16,basp,1,a,basp1a,12.52,13.04,,,,,,
17,basp,3,k,basp3k,16.32,21.31,,,,,,
18,basp,1,d,basp1d,11.41,10.03,,,,,,
19,basp,1,e,basp1e,9.81,7.23,,,,,,
20,basp,3,g,basp3g,11.12,8.94,,,,,,
21,basp,1,g,basp1g,12.59,12.5,,,,,,
22,basp,2,h,basp2h,16.09,21.44,,,,,,
23,basp,1,h,basp1h,11.65,11.84,,,,,,
24,basp,2,m,basp2m,16.18,21.16,,,,,,
25,basp,3,f,basp3f,15.83,19.91,,,,,,
26,basp,1,j,basp1j,11.86,14.01,,,,,,
27,basp,2,i,basp2i,14.46,17.77,,,,,,
28,basp,2,b,basp2b,16.78,29.13,,,,,,mass high
29,basp,1,i,basp1i,14.25,15.96,,,,,,
30,basp,3,e,basp3e,11.59,10.97,,,,,,
31,basp,1,b,basp1b,12.62,13.47,11.16,9.46,6.38,1.81,,
32,basp,2,e,basp2e,19.08,23.59,,,,,13.73,
33,basp,2,a,basp2a,13.59,15.27,12.52,9.7,6.81,2.17,,
34,basp,2,l,basp2l,16.37,21.54,,,,,12.88,
35,basp,3,b,basp3b,11.39,11.85,,,,,7.24,
36,basp,3,d,basp3d,14.03,14.9,11.93,9.43,6.37,2.09,,
1,cali,2,g,cali2g,14.26,15.41,,,,,,
2,cali,2,i,cali2i,14.54,15.49,,,,,,
3,cali,3,e,cali3e,13.84,12.81,,,,,,
4,cali,1,l,cali1l,18.73,21.64,,,,,,
5,cali,3,f,cali3f,13.57,12.98,,,,,,
6,cali,2,a,cali2a,10.59,7.53,,,,,,
7,cali,3,l,cali3l,19.05,25.2,,,,,,
8,cali,3,j,cali3j,18.11,23.25,,,,,,
9,cali,3,a,cali3a,10.32,7.27,,,,,,
10,cali,1,f,cali1f,16.81,20.55,,,,,,
11,cali,2,k,cali2k,16.3,18,,,,,,
12,cali,3,k,cali3k,18.35,25.12,,,,,,
13,cali,1,h,cali1h,15.74,18.46,,,,,,
14,cali,1,g,cali1g,15.93,18.03,,,,,,
15,cali,2,b,cali2b,10.54,6.84,,,,,,
16,cali,1,c,cali1c,12.43,10.68,,,,,,
17,cali,3,b,cali3b,10.12,7.49,,,,,,
18,cali,3,c,cali3c,10.67,7.51,,,,,,
19,cali,3,i,cali3i,18.73,24.42,,,,,,
20,cali,1,k,cali1k,17.97,22.85,,,,,,
21,cali,2,d,cali2d,13.53,12.99,,,,,,
22,cali,3,d,cali3d,11.71,9.15,,,,,,
23,cali,1,e,cali1e,14.62,14.49,,,,,,
24,cali,2,c,cali2c,15.42,14.79,,,,,,
25,cali,3,g,cali3g,13.82,12.95,,,,,,
26,cali,1,a,cali1a,10.22,7.49,,,,,,
27,cali,2,h,cali2h,15.14,16.03,,,,,,
28,cali,2,f,cali2f,14.56,18.02,,,,,,
29,cali,2,e,cali2e,10.81,8.35,,,,,,
30,cali,2,j,cali2j,14.56,14.91,,,,,,
31,cali,1,d,cali1d,12.31,10.69,,,,,6.36,
32,cali,1,j,cali1j,16.78,19.04,13.29,12.39,8.03,2.65,,
33,cali,2,l,cali2l,15.06,15.98,11.87,10.07,7.39,2.15,,
34,cali,3,h,cali3h,14.44,14.41,,,,,7.63,
35,cali,1,i,cali1i,15.52,19.49,,,,,10.73,
36,cali,1,b,cali1b,11.11,8.11,7.9,4.44,3.17,1.8,,thin layer of bark still on wood
1,cota,2,d,cota2d,10.26,7.98,,,,,,
2,cota,3,a,cota3a,8.84,4.86,,,,,,
3,cota,5,b,cota5b,9.12,5.71,,,,,,
4,cota,3,d,cota3d,8.44,5.09,,,,,,
5,cota,1,a,cota1a,8.93,4.93,,,,,,
6,cota,1,d,cota1d,8.5,4.56,,,,,,
7,cota,3,b,cota3b,9.4,5.54,,,,,,
8,cota,4,d,cota4d,10.5,7.18,,,,,,
9,cota,1,g,cota1g,9.16,4.98,,,,,,
10,cota,6,e,cota6e,11.71,7.85,,,,,,
11,cota,1,e,cota1e,8.75,5.43,,,,,,
12,cota,2,f,cota2f,12.86,8.23,,,,,,
13,cota,2,a,cota2a,8.93,5.83,,,,,,
14,cota,6,a,cota6a,11.11,7.48,,,,,,
15,cota,5,d,cota5d,9.92,6.66,,,,,,
16,cota,1,b,cota1b,10.22,5.18,,,,,,
17,cota,2,c,cota2c,9.7,5.92,,,,,,
18,cota,2,e,cota2e,9.32,6.21,,,,,,
19,cota,5,e,cota5e,9.28,5.79,,,,,,
20,cota,6,b,cota6b,12.58,8.19,,,,,,
21,cota,2,h,cota2h,9.34,5.38,,,,,,
22,cota,1,f,cota1f,10.25,5.78,,,,,,
23,cota,4,a,cota4a,8.64,4.74,,,,,,
