order,species,Stem,ID,unique,rand
657,eusc,3,b,eusc3b,9
658,ALLI,3,7,ALLI37,23
663,excu,3,i,excu3i,24
665,ACPA,3,13,ACPA313,24
666,ripi,3,e,ripi3e,3
676,eusc,3,e,eusc3e,11
679,alli,3,c,alli3c,28
681,baae,3,f,baae3f,14
682,EUSC,3,11,EUSC311,26
685,pepu,3,d,pepu3d,4
689,EUTE,3,14,EUTE314,10
691,anba,3,b,anba3b,25
692,PELI,3,5,PELI35,4
698,anba,3,l,anba3l,18
699,ANBA,3,3,ANBA33,5
702,excu,3,d,excu3d,30
703,ANBA,3,10,ANBA310,13
704,PEPU,3,7,PEPU37,9
708,eute,3,k,eute3k,7
709,EUSC,3,2,EUSC32,12
710,eusc,3,d,eusc3d,23
714,EUSC,3,9,EUSC39,20
722,anba,3,g,anba3g,20
724,isan,3,g,isan3g,25
725,eusc,3,l,eusc3l,1
734,mede,3,a,mede3a,16
735,EXCU,3,4,EXCU34,19
737,LEPA,3,5,LEPA35,2
738,MEDE,3,14,MEDE314,20
739,ripi,3,a,ripi3a,8
741,EXCU,3,9,EXCU39,3
745,alli,3,g,alli3g,15
746,anba,3,j,anba3j,10
747,anba,3,d,anba3d,30
748,JASC,3,7,JASC37,28
751,lepa,3,k,lepa3k,6
753,penu,3,b,penu3b,26
755,basp,3,f,basp3f,16
756,EXCU,3,10,EXCU310,27
767,anba,3,f,anba3f,21
774,cali,3,i,cali3i,18
782,EUSC,3,14,EUSC314,1
786,baae,3,c,baae3c,13
787,LEPA,3,6,LEPA36,25
790,EXCU,3,12,EXCU312,10
792,EUSC,3,6,EUSC36,21
793,EUTE,3,2,EUTE32,1
794,MEDE,3,9,MEDE39,24
797,PELI,3,8,PELI38,20
802,cali,3,d,cali3d,28
803,ALLI,3,1,ALLI31,15
808,peli,3,f,peli3f,8
809,MEDE,3,6,MEDE36,7
810,EUTE,3,5,EUTE35,9
811,BAAE,3,6,BAAE36,26
812,EUSC,3,8,EUSC38,15
813,eute,3,b,eute3b,4
819,ALLI,3,3,ALLI33,29
823,jasc,3,g,jasc3g,20
824,PEPU,3,10,PEPU310,25
825,alli,3,l,alli3l,16
827,BAAE,3,7,BAAE37,12
831,penu,3,d,penu3d,3
834,EXCU,3,13,EXCU313,5
836,penu,3,h,penu3h,5
837,EXCU,3,1,EXCU31,12
839,alli,3,b,alli3b,10
840,pepu,3,e,pepu3e,17
843,PEPU,3,3,PEPU33,4
849,PELI,3,2,PELI32,10
851,hase,3,g,hase3g,25
853,EUTE,3,11,EUTE311,27
858,baae,3,l,baae3l,23
860,isan,3,f,isan3f,8
865,jasc,3,a,jasc3a,21
867,EUSC,3,10,EUSC310,29
870,baae,3,j,baae3j,12
871,penu,3,e,penu3e,13
877,cali,3,g,cali3g,8
884,alli,3,j,alli3j,3
887,lepa,3,b,lepa3b,17
889,eute,3,l,eute3l,9
891,baae,3,k,baae3k,11
892,PEPU,3,11,PEPU311,14
898,lepa,3,l,lepa3l,12
903,MEDE,3,1,MEDE31,16
904,hase,3,a,hase3a,28
906,peli,3,d,peli3d,14
907,alli,3,a,alli3a,2
916,mede,3,d,mede3d,2
919,PELI,3,9,PELI39,25
921,LEPA,3,1,LEPA31,28
923,JASC,3,14,JASC314,25
928,JASC,3,8,JASC38,2
938,EXCU,3,5,EXCU35,16
945,peli,3,a,peli3a,5
949,lepa,3,g,lepa3g,23
952,anba,3,c,anba3c,2
964,BAAE,3,12,BAAE312,11
970,basp,3,z,basp3z,15
973,alli,3,f,alli3f,21
977,penu,3,i,penu3i,25
981,MEDE,3,2,MEDE32,22
983,mede,3,l,mede3l,4
984,PELI,3,12,PELI312,8
985,ACPA,3,12,ACPA312,26
986,lepa,3,c,lepa3c,19
988,excu,3,h,excu3h,23
990,alli,3,i,alli3i,29
997,JASC,3,3,JASC33,12
1000,MEDE,3,16,MEDE316,13
1002,jasc,3,f,jasc3f,15
1003,basp,3,e,basp3e,4
1006,eusc,3,g,eusc3g,29
1007,eusc,3,h,eusc3h,13
1017,EXCU,3,2,EXCU32,9
1020,penu,3,f,penu3f,1
1,LEPA,4,5,LEPA45,1
11,acpa,4,k,acpa4k,27
14,ACPA,4,1,ACPA41,14
55,isan,4,b,isan4b,26
58,acpa,4,c,acpa4c,28
75,acpa,4,b,acpa4b,17
90,acpa,4,d,acpa4d,22
153,ACPA,4,12,ACPA412,16
169,ACPA,4,15,ACPA415,17
196,ACPA,4,2,ACPA42,4
217,cota,4,d,cota4d,23
220,acpa,4,f,acpa4f,29
274,olst,4,h,olst4h,7
276,LEPA,4,6,LEPA46,27
339,acpa,4,g,acpa4g,30
351,olst,4,e,olst4e,11
398,olst,4,f,olst4f,4
484,penu,4,c,penu4c,14
487,olst,4,i,olst4i,30
495,ACPA,4,10,ACPA410,19
507,ACPA,4,11,ACPA411,9
557,ACPA,4,6,ACPA46,28
564,LEPA,4,7,LEPA47,7
585,acpa,4,e,acpa4e,23
587,cota,4,a,cota4a,15
600,leer,4,a,leer4a,29
659,olst,4,c,olst4c,10
661,leer,4,b,leer4b,8
674,penu,4,d,penu4d,30
706,acpa,4,h,acpa4h,18
719,acpa,4,l,acpa4l,14
740,ACPA,4,8,ACPA48,10
749,acpa,4,i,acpa4i,26
754,isan,4,c,isan4c,1
766,LEPA,4,1,LEPA41,20
770,LEPA,4,3,LEPA43,29
784,olst,4,b,olst4b,8
821,LEPA,4,4,LEPA44,11
829,acpa,4,a,acpa4a,7
835,ACPA,4,9,ACPA49,22
893,acpa,4,j,acpa4j,8
915,olst,4,g,olst4g,22
987,olst,4,a,olst4a,21
3,acel,5,f,acel5f,19
25,acel,5,a,acel5a,21
34,cota,5,b,cota5b,22
144,acel,5,k,acel5k,30
164,acel,5,l,acel5l,17
188,isan,5,k,isan5k,14
231,acel,5,h,acel5h,13
238,isan,5,i,isan5i,19
241,leer,5,a,leer5a,12
251,acel,5,d,acel5d,20
288,isan,5,b,isan5b,24
293,acel,5,e,acel5e,18
294,isan,5,h,isan5h,23
345,penu,5,d,penu5d,28
362,leer,5,b,leer5b,6
369,cota,5,d,cota5d,16
375,isan,5,c,isan5c,21
447,cota,5,e,cota5e,27
456,isan,5,a,isan5a,4
481,acel,5,c,acel5c,28
551,isan,5,j,isan5j,17
615,isan,5,f,isan5f,5
675,acel,5,j,acel5j,6
733,penu,5,a,penu5a,11
775,acel,5,i,acel5i,22
862,cota,5,c,cota5c,12
939,penu,5,b,penu5b,23
943,isan,5,d,isan5d,27
965,isan,5,e,isan5e,2
995,cota,5,a,cota5a,8
93,leer,6,c,leer6c,2
262,cota,6,e,cota6e,28
330,leer,6,a,leer6a,17
366,cota,6,a,cota6a,30
494,cota,6,b,cota6b,17
624,leer,6,b,leer6b,20
736,cota,6,c,cota6c,20
926,cota,6,d,cota6d,7
450,leer,7,f,leer7f,22
496,leer,7,c,leer7c,9
530,leer,7,e,leer7e,15
742,leer,7,b,leer7b,10
785,leer,7,d,leer7d,13
94,leer,8,f,leer8f,7
232,leer,8,d,leer8d,3
234,leer,8,a,leer8a,4
286,leer,8,e,leer8e,30
572,leer,8,b,leer8b,11
899,leer,8,c,leer8c,19
141,leer,9,b,leer9b,26
436,leer,9,c,leer9c,1
1004,leer,9,d,leer9d,5
227,leer,10,c,leer10c,28
297,leer,10,d,leer10d,18
700,leer,10,a,leer10a,16
769,leer,10,e,leer10e,24
885,leer,10,b,leer10b,23
