order,species,Stem,ID,unique,rand
157,olst,2,d,olst2d,16
160,EXCU,2,9,EXCU29,18
170,BAAE,2,14,BAAE214,21
180,ANBA,2,7,ANBA27,18
181,BAAE,2,8,BAAE28,22
182,ALLI,2,3,ALLI23,12
190,EUSC,2,2,EUSC22,16
191,ALLI,2,14,ALLI214,14
195,ripi,2,l,ripi2l,15
200,EXCU,2,11,EXCU211,24
205,EXCU,2,7,EXCU27,6
206,penu,2,h,penu2h,10
208,eute,2,b,eute2b,19
209,EXCU,2,8,EXCU28,4
215,acel,2,f,acel2f,24
216,penu,2,j,penu2j,15
221,anba,2,i,anba2i,13
222,ALLI,2,4,ALLI24,13
223,pepu,2,f,pepu2f,15
225,PELI,2,3,PELI23,18
226,PEPU,2,6,PEPU26,20
