SamplingDate,SampleType,StemSize,StemCode,Site,Age,Treatment,Plot,Tree,Harvest,SampleCode,TubeID,ExtractionDate,mgSample,NextGenID,NucleicAcidConc,260/280,260/230,VolWater ,VolDNA,PlateNumber,WellNumber ,SubmittedNucleicAcidConc,Chemistry,Pos,Na        ,Mg        ,Al       ,P         ,K       ,Ca      ,Mn      ,Fe      ,Cu    ,Zn      ,Ag      ,S         ,Cl        ,Si      
August2013,woodshaving,small,olstB,NA,NA,NA,NA,NA,NA,olstB,18,31/08/16_AM,148.00,JPR-RP13-S-18,6.2,2.06,0.98,0.0,30.0,1,G7,6.2,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,isanB,NA,NA,NA,NA,NA,NA,isanB,19,31/08/16_AM,146.00,JPR-RP13-S-19,2.2,1.48,0.23,0.0,30.0,1,H7,2.2,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,leerA,NA,NA,NA,NA,NA,NA,leerA,20,31/08/16_AM,145.00,JPR-RP13-S-20,6.4,1.7,0.49,0.0,30.0,1,A8,6.4,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,cotaB,NA,NA,NA,NA,NA,NA,cotaB,21,31/08/16_AM,182.00,JPR-RP13-S-21,7.5,1.75,0.67,0.0,30.0,1,B8,7.5,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,olstA,NA,NA,NA,NA,NA,NA,olstA,22,31/08/16_AM,188.00,JPR-RP13-S-22,2.6,2.17,0.5,0.0,30.0,1,C8,2.6,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,leerB,NA,NA,NA,NA,NA,NA,leerB,23,31/08/16_AM,135.00,JPR-RP13-S-23,4.9,2.17,0.74,0.0,30.0,1,D8,4.9,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,leerC,NA,NA,NA,NA,NA,NA,leerC,24,31/08/16_AM,162.00,JPR-RP13-S-24,3.6,1.97,0.73,0.0,30.0,1,E8,3.6,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,cotaA,NA,NA,NA,NA,NA,NA,cotaA,25,31/08/16_AM,177.00,JPR-RP13-S-25,12.5,1.91,1.15,6.0,24.0,1,F8,10,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,baspB,NA,NA,NA,NA,NA,NA,baspB,26,31/08/16_AM,163.00,JPR-RP13-S-26,6.4,1.9,0.92,0.0,30.0,1,G8,6.4,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,haseA,NA,NA,NA,NA,NA,NA,haseA,27,31/08/16_AM,176.00,JPR-RP13-S-27,8.6,1.86,1.26,0.0,30.0,1,H8,8.6,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,ripiB,NA,NA,NA,NA,NA,NA,ripiB,28,31/08/16_AM,184.00,JPR-RP13-S-28,14.3,1.88,1.14,9.0,21.0,1,A9,10,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,baspC,NA,NA,NA,NA,NA,NA,baspC,29,31/08/16_AM,150.00,JPR-RP13-S-29,4.7,2.06,1.04,0.0,30.0,1,B9,4.7,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,isanA,NA,NA,NA,NA,NA,NA,isanA,30,31/08/16_AM,175.00,JPR-RP13-S-30,6.4,1.89,1.14,0.0,30.0,1,C9,6.4,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,ripiA,NA,NA,NA,NA,NA,NA,ripiA,31,31/08/16_AM,147.00,JPR-RP13-S-31,13.7,1.86,1.01,8.1,21.9,1,D9,10,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,penuA,NA,NA,NA,NA,NA,NA,penuA,32,31/08/16_AM,191.00,JPR-RP13-S-32,23.6,1.91,1.26,17.3,12.7,1,E9,10,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,caliA,NA,NA,NA,NA,NA,NA,caliA,33,31/08/16_PM,185.00,JPR-RP13-S-33,20.1,1.77,0.85,15.1,14.9,1,F9,10,no,,,,,,,,,,,,,,,
August2013,woodshaving,small,leerD,NA,NA,NA,NA,NA,NA,leerD,34,31/08/16_PM,159.00,JPR-RP13-S-34,6.4,1.94,1.35,0.0,30.0,1,G9,6.4,no,,,,,,,,,,,,,,,
